Inactive,Internal ID,Name,Duplicate,Job Title,Phone,Email,Login Access
No,27819,*,,,,,No
No,29243,*,,,,,No
No,31206,*,,,,,No
No,29244,**,,,,,No
No,35025,**DO NOT,,,,,No
No,18866,**DO NOT,,,,,No
No,24920,.,,,,,No
No,26747,.,,,,,No
No,22643,..,,,,,No
No,23727,...,,,,,No
No,19594,/Kareen,,,,,No
No,27006,0,,,,,No
No,38967,"1228 MILLMEYER,",Yes,,,invoices@halo.com,No
No,39262,13113 ACADIAN,,,,,No
No,38968,149 HALO,,,,,No
No,47237,171 REED FREDRICKS,Yes,,,REEDF@BUFFSPEC.COM,No
No,44389,1stopromos@gmail.com,Yes,,(305) 602-5005,1stopromos@gmail.com,No
No,41695,20991,,,,,No
No,38969,"2340 EISNER,",,,,,No
No,38970,25722 HOLLAND,,,,Linda.Stone@halo.com,No
No,38971,"2598 CARROW,",,,,,No
No,61267,2652proofs,,,(608) 403-4115,2652proofs@halo.com,No
No,38972,2701 HOLLY,,,,,No
No,45766,2squaresmarketing@gmail.com,,,,2squaresmarketing@gmail.com,No
No,39263,"3149 DOWELL,",,,,,No
No,56781,"3626 - MICHEL, RHONDA",Yes,,(608) 403-4115,5cs@halo.com,No
No,38973,3657 Springer,,,,,No
No,38974,37153 PRIME,,,,,No
No,45082,3742 FIDDLER'S ROCK COMMUNI,,,,,No
No,39264,"3891 COOPER,",,,,,No
No,39265,3964 STEVE,,,,,No
No,50629,3D Promotions Atlanta,,,,info@3dpatlanta.com,No
No,62057,3tree Marketing Company: Angel Joshua David,,,1 (877) 274-4852,adavid@3treemarketing.com,No
No,38975,4016BOOTSCHRISTOPHER,,,,,No
No,39266,"4315 EMPEY,",,,,,No
No,38976,4506 LORI,,,,,No
No,38977,4729 Stewart,,,,,No
No,38978,"47432 GRAESER,",,,,,No
No,38979,"4905 PLUMB,",,,,,No
No,38980,49462 POWSNER,,,,,No
No,38981,497 CELASCHI,,,,,No
No,38982,"5054 ASHLEY,",,,,,No
No,38983,5083 SIMON,,,,,No
