Inactive,Internal ID,FinalSku,Display Name,SubType,Description,Base Price,Tax Schedule,Planner
No,8249,1001-0000,Jag Bag - Red 1 side,,,,Non-Taxable,
No,9447,1001-0001,Jag Bag - Red Library bags (logo on one side only),,,,Non-Taxable,
No,8247,1002-0000,Jag Bag - Red 2 Side,,,,Non-Taxable,
No,9448,1002-0001,Jag Bag - Red 2 side Book bags,,,,Non-Taxable,
No,9042,1002-JG23,Jag Bag - Red 2 side Book bags,,,,Non-Taxable,
No,8248,1005-0000,Jag Bag - Blue logo on one side,,,,Non-Taxable,
No,9449,1005-0001,Jag Bag - Blue Library bags (logo on one side only),,,,Non-Taxable,
No,9043,1005-0023,Jag Bag - Blue Library bags (logo on one side only),,,,Non-Taxable,
No,2143,33400,LC Ladies' Gray Performance Manager Polo - XSMALL,,,,Non-Taxable,
No,1443,33400-FD,LC Ladies' Gray Performance Polo - XS,,,,Non-Taxable,
No,2144,33401,LC Ladies' Gray Performance Manager Polo - Small,,,,Non-Taxable,
No,1444,33401-FD,LC Ladies' Gray Performance Polo - S,,,,Non-Taxable,
No,2145,33402,LC Ladies' Gray Performance Manager Polo - MEDIUM,,,,Non-Taxable,
No,1445,33402-FD,LC Ladies' Gray Performance Polo - M,,,,Non-Taxable,
No,2146,33403,LC Ladies' Gray Performance Manager Polo - LARGE,,,,Non-Taxable,
No,1446,33403-FD,LC Ladies' Gray Performance Polo - L,,,,Non-Taxable,
No,2147,33404,LC Ladies' Gray Performance Manager Polo - X-LARGE,,,,Non-Taxable,
No,1447,33404-FD,LC Ladies' Gray Performance Polo - XL,,,,Non-Taxable,
No,2148,33405,LC Ladies' Gray Performance Manager Polo - 2X-LARGE,,,,Non-Taxable,
No,1448,33405-FD,LC Ladies' Gray Performance Polo - 2XL,,,,Non-Taxable,
No,2149,33407,LC Men's Gray Performance Manager Polo - SMALL,,,,Non-Taxable,
No,1449,33407-FD,LC Men's Gray Performance Polo - S,,,,Non-Taxable,
No,2150,33408,LC Men's Gray Performance Manager Polo - MEDIUM,,,,Non-Taxable,
No,1450,33408-FD,LC Men's Gray Performance Polo - M,,,,Non-Taxable,
No,2151,33409,LC Men's Gray Performance Manager Polo - LARGE,,,,Non-Taxable,
No,1451,33409-FD,LC Men's Gray Performance Polo - L,,,,Non-Taxable,
No,2152,33410,LC Men's Gray Performance Manager Polo - X-LARGE,,,,Non-Taxable,
No,1452,33410-FD,LC Men's Gray Performance Polo - XL,,,,Non-Taxable,
No,2153,33411,LC Men's Gray Performance Manager Polo - 2X-LARGE,,,,Non-Taxable,
No,1453,33411-FD,LC Men's Gray Performance Polo - 2XL,,,,Non-Taxable,
No,2154,33412,LC Men's Gray Performance Manager Polo - 3X-LARGE,,,,Non-Taxable,
No,1454,33412-FD,LC Men's Gray Performance Polo - 3XL,,,,Non-Taxable,
No,2155,33413,LC Men's Gray Performance Manager Polo - 4X-LARGE,,,,Non-Taxable,
No,1455,33413-FD,LC Men's Gray Performance Polo - 4XL,,,,Non-Taxable,
No,2156,33414,LC Men's Gray Performance Manager Polo - 5X-LARGE,,,,Non-Taxable,
No,1456,33414-FD,LC Men's Gray Performance Polo - 5XL,,,,Non-Taxable,
No,2157,33415,LC Unisex Performance All Over Crew - SMALL,,,,Non-Taxable,
No,1457,33415-FD,LC Unisex Performance All Over Crew - S,,,,Non-Taxable,
No,2158,33416,LC Unisex Performance All Over Crew - MEDIUM,,,,Non-Taxable,
No,1458,33416-FD,LC Unisex Performance All Over Crew- M,,,,Non-Taxable,
No,2159,33417,LC Unisex Performance All Over Crew - LARGE,,,,Non-Taxable,
No,1459,33417-FD,LC Unisex Performance All Over Crew- L,,,,Non-Taxable,
No,2160,33418,LC Unisex Performance All Over Crew - X-LARGE,,,,Non-Taxable,
No,1460,33418-FD,LC Unisex Performance All Over Crew- XL,,,,Non-Taxable,
No,2161,33419,LC Unisex Performance All Over Crew - 2X-LARGE,,,,Non-Taxable,
No,1461,33419-FD,LC Unisex Performance All Over Crew- 2XL,,,,Non-Taxable,
No,2162,33420,LC Unisex Performance All Over Crew - 3X-LARGE,,,,Non-Taxable,
No,1462,33420-FD,LC Unisex Performance All Over Crew- 3XL,,,,Non-Taxable,
No,2163,33421,LC Unisex Performance All Over Crew - 4X-LARGE,,,,Non-Taxable,
No,1463,33421-FD,LC Unisex Performance All Over Crew- 4XL,,,,Non-Taxable,
No,2164,33422,LC Unisex Performance All Over Crew - 5X-LARGE,,,,Non-Taxable,
No,1464,33422-FD,LC Unisex Performance All Over Crew- 5XL,,,,Non-Taxable,
No,2165,33423,LC Unisex Performance All Over Crew - 6X-LARGE,,,,Non-Taxable,
No,1465,33423-FD,LC Unisex Performance All Over Crew- 6XL,,,,Non-Taxable,
No,2166,33424,LC Unisex Performance Logo Crew- SMALL,,,,Non-Taxable,
No,1466,33424-FD,LC Unisex Performance Logo Crew- S,,,,Non-Taxable,
No,2167,33425,LC Unisex Performance Logo Crew- MEDIUM,,,,Non-Taxable,
No,1467,33425-FD,LC Unisex Performance Logo Crew- M,,,,Non-Taxable,
No,2168,33426,LC Unisex Performance Logo Crew- LARGE,,,,Non-Taxable,
No,1468,33426-FD,LC Unisex Performance Logo Crew- L,,,,Non-Taxable,
No,2169,33427,LC Unisex Performance Logo Crew- X-LARGE,,,,Non-Taxable,
No,1469,33427-FD,LC Unisex Performance Logo Crew- XL,,,,Non-Taxable,
No,2170,33428,LC Unisex Performance Logo Crew- 2X-LARGE,,,,Non-Taxable,
No,1470,33428-FD,LC Unisex Performance Logo Crew- 2XL,,,,Non-Taxable,
No,2171,33429,LC Unisex Performance Logo Crew- 3X-LARGE,,,,Non-Taxable,
No,1471,33429-FD,LC Unisex Performance Logo Crew- 3XL,,,,Non-Taxable,
No,2172,33430,LC Unisex Performance Logo Crew- 4X-LARGE,,,,Non-Taxable,
No,1472,33430-FD,LC Unisex Performance Logo Crew- 4XL,,,,Non-Taxable,
No,2173,33432,LC Hat Unisex - Orange - 1S,,,,Non-Taxable,
No,8682,33432-FD,LC Orange Hat,,,,Non-Taxable,
