Internal ID,Name,Display Name,Description,Type
8249,1001-0000,Jag Bag - Red 1 side,,Inventory Item
9447,1001-0001,Jag Bag - Red Library bags (logo on one side only),,Inventory Item
8247,1002-0000,Jag Bag - Red 2 Side,,Inventory Item
9448,1002-0001,Jag Bag - Red 2 side Book bags,,Inventory Item
9042,1002-JG23,Jag Bag - Red 2 side Book bags,,Inventory Item
8248,1005-0000,Jag Bag - Blue logo on one side,,Inventory Item
9449,1005-0001,Jag Bag - Blue Library bags (logo on one side only),,Inventory Item
9043,1005-0023,Jag Bag - Blue Library bags (logo on one side only),,Inventory Item
2143,33400,LC Ladies' Gray Performance Manager Polo - XSMALL,,Inventory Item
1443,33400-FD,LC Ladies' Gray Performance Polo - XS,,Inventory Item
2144,33401,LC Ladies' Gray Performance Manager Polo - Small,,Inventory Item
1444,33401-FD,LC Ladies' Gray Performance Polo - S,,Inventory Item
2145,33402,LC Ladies' Gray Performance Manager Polo - MEDIUM,,Inventory Item
1445,33402-FD,LC Ladies' Gray Performance Polo - M,,Inventory Item
2146,33403,LC Ladies' Gray Performance Manager Polo - LARGE,,Inventory Item
1446,33403-FD,LC Ladies' Gray Performance Polo - L,,Inventory Item
2147,33404,LC Ladies' Gray Performance Manager Polo - X-LARGE,,Inventory Item
1447,33404-FD,LC Ladies' Gray Performance Polo - XL,,Inventory Item
2148,33405,LC Ladies' Gray Performance Manager Polo - 2X-LARGE,,Inventory Item
1448,33405-FD,LC Ladies' Gray Performance Polo - 2XL,,Inventory Item
2149,33407,LC Men's Gray Performance Manager Polo - SMALL,,Inventory Item
1449,33407-FD,LC Men's Gray Performance Polo - S,,Inventory Item
2150,33408,LC Men's Gray Performance Manager Polo - MEDIUM,,Inventory Item
1450,33408-FD,LC Men's Gray Performance Polo - M,,Inventory Item
2151,33409,LC Men's Gray Performance Manager Polo - LARGE,,Inventory Item
1451,33409-FD,LC Men's Gray Performance Polo - L,,Inventory Item
2152,33410,LC Men's Gray Performance Manager Polo - X-LARGE,,Inventory Item
1452,33410-FD,LC Men's Gray Performance Polo - XL,,Inventory Item
2153,33411,LC Men's Gray Performance Manager Polo - 2X-LARGE,,Inventory Item
1453,33411-FD,LC Men's Gray Performance Polo - 2XL,,Inventory Item
2154,33412,LC Men's Gray Performance Manager Polo - 3X-LARGE,,Inventory Item
1454,33412-FD,LC Men's Gray Performance Polo - 3XL,,Inventory Item
2155,33413,LC Men's Gray Performance Manager Polo - 4X-LARGE,,Inventory Item
1455,33413-FD,LC Men's Gray Performance Polo - 4XL,,Inventory Item
2156,33414,LC Men's Gray Performance Manager Polo - 5X-LARGE,,Inventory Item
1456,33414-FD,LC Men's Gray Performance Polo - 5XL,,Inventory Item
2157,33415,LC Unisex Performance All Over Crew - SMALL,,Inventory Item
1457,33415-FD,LC Unisex Performance All Over Crew - S,,Inventory Item
2158,33416,LC Unisex Performance All Over Crew - MEDIUM,,Inventory Item
1458,33416-FD,LC Unisex Performance All Over Crew- M,,Inventory Item
2159,33417,LC Unisex Performance All Over Crew - LARGE,,Inventory Item
1459,33417-FD,LC Unisex Performance All Over Crew- L,,Inventory Item
2160,33418,LC Unisex Performance All Over Crew - X-LARGE,,Inventory Item
1460,33418-FD,LC Unisex Performance All Over Crew- XL,,Inventory Item
2161,33419,LC Unisex Performance All Over Crew - 2X-LARGE,,Inventory Item
1461,33419-FD,LC Unisex Performance All Over Crew- 2XL,,Inventory Item
2162,33420,LC Unisex Performance All Over Crew - 3X-LARGE,,Inventory Item
1462,33420-FD,LC Unisex Performance All Over Crew- 3XL,,Inventory Item
2163,33421,LC Unisex Performance All Over Crew - 4X-LARGE,,Inventory Item
1463,33421-FD,LC Unisex Performance All Over Crew- 4XL,,Inventory Item
2164,33422,LC Unisex Performance All Over Crew - 5X-LARGE,,Inventory Item
1464,33422-FD,LC Unisex Performance All Over Crew- 5XL,,Inventory Item
2165,33423,LC Unisex Performance All Over Crew - 6X-LARGE,,Inventory Item
1465,33423-FD,LC Unisex Performance All Over Crew- 6XL,,Inventory Item
2166,33424,LC Unisex Performance Logo Crew- SMALL,,Inventory Item
1466,33424-FD,LC Unisex Performance Logo Crew- S,,Inventory Item
2167,33425,LC Unisex Performance Logo Crew- MEDIUM,,Inventory Item
1467,33425-FD,LC Unisex Performance Logo Crew- M,,Inventory Item
2168,33426,LC Unisex Performance Logo Crew- LARGE,,Inventory Item
1468,33426-FD,LC Unisex Performance Logo Crew- L,,Inventory Item
2169,33427,LC Unisex Performance Logo Crew- X-LARGE,,Inventory Item
1469,33427-FD,LC Unisex Performance Logo Crew- XL,,Inventory Item
2170,33428,LC Unisex Performance Logo Crew- 2X-LARGE,,Inventory Item
1470,33428-FD,LC Unisex Performance Logo Crew- 2XL,,Inventory Item
2171,33429,LC Unisex Performance Logo Crew- 3X-LARGE,,Inventory Item
